STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
lived	5	141.59	12	29.46	9495.93	429.6	1886.1	99.5	547.29	13	240859.27	33605.8	24062.38	4139.5	2685.64	380.33
lives	5	131.6	14	29.79	9873.37	663.6	2091.97	122	509.6	16.67	260322.07	39543.4	23145.27	5280.5	2726.49	463.67
local	5	243.8	3	6.76	6806.8	308.2	690.9	36.5	253.56	4.67	232324.9	31304	16043.28	2941	1499.24	416.33
looks	5	112.14	10	18.96	10009.8	620.6	811.94	69.5	245.49	7	222230.93	30383.8	7313.47	1268.5	1767.53	141.67
loved	5	83.29	10	37.2	11428.94	475	1732.8	99.25	369.65	12.33	244399.27	30590.2	21995.16	3385.25	2486.5	282
lower	5	100.13	12	34.45	10819.72	450	2344.61	79.5	387.5	12.67	269934.3	34086.4	26667.79	3838.25	2956.93	217.67
lunch	5	78.47	6	5.42	5141.26	270.4	1401.83	42.25	123.25	8.67	187201.25	24349	11271.54	2116.25	662.31	242
lying	5	79.36	3	16.26	6751.37	217	2220.61	33.75	995.47	9	185189.12	28477.4	33601.73	6192.25	10443.56	2450.67
major	5	186.33	2	11.24	5504.4	300	479.14	23.75	186.33	1	211201.45	26073.8	13871.97	1779.25	274.44	17
makes	5	177.05	18	10.16	9601.3	718.2	1680.77	121	439.35	17	260129.77	35210	16916.81	4128.5	1639.6	160
march	5	64.25	4	17.4	7225.64	359.8	1871.64	63.25	109.33	6.67	217748.61	26202.8	17473.01	2726.5	1045.23	272.33
match	5	58.72	8	34.91	6624.06	322.2	1781.57	55.75	241.2	12	247606.31	25975.4	20222.49	3295.75	1210.74	353
maybe	5	130.71	0	0	6904.09	338.8	343.76	23	136.69	2.33	230367.53	27952.6	11844.26	1228	493.27	21.33
means	5	256.53	10	22.32	9900.21	634.6	1604.65	71.5	424.86	11	311246.14	41972.6	32192.1	3707.25	1441.17	309.33
meant	5	145.46	2	132.73	9470.25	389	1793.97	59.25	395.11	8	336938.46	39443	36475.45	3973.5	2266.12	426.33
might	5	731.17	9	203.89	6437.12	245.6	2276.42	23.5	1985.99	8.33	225810.28	26089.6	8513.9	1267.5	4064.51	358.67
