Remove	STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
0	radia	5	NA	2	36.86	4456.42	300.8	274.78	27.75	86.68	3.33	295659.88	38539.4	12756.81	3010.5	875.24	226.67
1	ranny	5	NA	7	7.17	6443.41	440.2	478.81	50	113.79	11	255573.03	33617.6	21851.82	2921.75	1198.78	350
1	rater	5	NA	10	96.48	9599.43	487.6	3189.21	93.25	1155.59	16.67	356210.97	44459.4	40231.38	7772.25	7034.82	1921.33
0	rendy	5	NA	4	32.96	4919.86	356.8	505.38	45.5	32.56	6	259413.13	34394.2	37531.66	4036.25	1970.3	295.33
0	rocal	5	NA	4	81.71	6599.1	307.8	706.89	35.75	186.35	3.67	246896.99	33306.2	18231.14	3228.25	1486.62	421
1	rogan	5	NA	3	14.5	7510.12	303.6	707.07	29.25	141.39	3	263707.58	34027.4	23309.03	2852.25	457.22	116
1	roper	5	NA	8	4.77	10677.76	459	2217.64	80.5	125.19	11	281757.67	38346.2	27186.57	4679.75	2694.64	546.67
0	roubt	5	NA	1	150.64	8955.3	319	2384.69	32.75	237.83	3	228484.56	27993.6	16467.88	1878.25	1648.76	160
0	rould	5	NA	4	1288.29	11381.28	377.6	5118.73	38.75	3363.09	5.67	204076.63	28336.4	21635.65	2307.5	5377.71	172.67
0	rount	5	NA	4	107.01	10844.64	369.2	3138.76	52.5	736.9	11.33	272567.5	33652.8	26367.21	3508.75	3813.56	424.67
0	routh	5	NA	7	69.56	8872.03	351.4	2888.26	46.25	463.85	7.67	264164.74	28354.2	51662.13	2597.25	4029.78	336
0	rully	5	NA	6	16.83	5345.19	352.4	569.18	53.5	165.29	15.33	156126.47	25120.4	13484.53	2450	1662.94	399.67
0	salls	5	NA	14	18.93	9923.04	718.2	675.66	77.75	260.7	22.33	249862.59	40463.8	16393.2	2586.75	3763.63	566.33
0	salph	5	NA	2	25.43	6125.25	417.2	273.56	33	61.69	3.67	227765.46	30145	10660.55	1840.75	219.13	101
1	seemy	5	NA	3	77.68	8534.84	433.8	540	32.75	182.8	3.33	297753.37	40326	14589.66	1679.75	1250.34	57.33
1	seeth	5	NA	1	82.1	9592.52	410.4	887.16	37.5	147.4	3.33	388638.4	45687.4	45960.86	2348	1900.14	127.67
1	seets	5	NA	11	28.1	11099.92	681.6	722.75	75.5	128.92	6	392442.89	53382	16733.88	2491.5	1525.63	176.33
0	seved	5	NA	5	31.78	10904.4	518.8	1920.34	93.25	615.73	8	302768.78	40927	26389.01	3609.25	3187.17	150.67
0	sevel	5	NA	5	61.27	9362.99	483.4	1370.62	44	530.66	6.33	303494.11	42560.2	20695.61	2504.75	3167.37	232.67
0	shads	5	NA	8	4.12	11804.04	624.6	1168.71	63	256.81	12.67	264070.23	35440.4	18087.34	1715.25	2670.57	153
0	shain	5	NA	6	12.49	11044.98	365.8	1301.48	48.5	600.22	13	296471.14	38486	36231.29	4634	2369.28	298
1	shant	5	NA	7	2.92	12885.5	409.2	1289.83	59.5	314.88	13.33	313823.63	36452.4	36402.96	3644.5	3180.78	556.67
1	shart	5	NA	11	59.56	12833.29	397.4	1524.5	56.5	424.08	13.33	305059.98	36546.2	23832.74	2647.75	2214.94	371
